Patient	cluster_id	sample_id	cellular_prevalence	cellular_prevalence_std	upper_95CI	lower_95CI	clonal
Patient303	5	Primaryv2	0	2e-04	4e-04	-4e-04	FALSE
Patient303	5	Primaryv3	0.0449	0.0101	0.0651	0.0247	FALSE
Patient303	5	Primaryv4	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient303	5	Primaryv5	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient303	5	Primaryv6	0.0136	0.0051	0.0238	0.0034	FALSE
Patient303	5	Primaryv7	4e-04	0.0019	0.0042	-0.0034	FALSE
Patient303	5	Primaryv8	0	1e-04	2e-04	-2e-04	FALSE
Patient303	5	Primaryv9	6e-04	0.0024	0.0054	-0.0042	FALSE
Patient303	6	Primaryv1	0.1097	0.0213	0.1523	0.0671	FALSE
Patient303	6	Primaryv10	0.0817	0.0177	0.1171	0.0463	FALSE
Patient303	6	Primaryv2	0.099	0.0199	0.1388	0.0592	FALSE
Patient303	6	Primaryv3	0.1339	0.0249	0.1837	0.0841	FALSE
Patient303	6	Primaryv4	0.1098	0.0221	0.154	0.0656	FALSE
Patient303	6	Primaryv5	0.0872	0.0228	0.1328	0.0416	FALSE
Patient303	6	Primaryv6	0.0932	0.0207	0.1346	0.0518	FALSE
Patient303	6	Primaryv7	0.115	0.0224	0.1598	0.0702	FALSE
Patient303	6	Primaryv8	0.0754	0.016	0.1074	0.0434	FALSE
Patient303	6	Primaryv9	0.0861	0.0194	0.1249	0.0473	FALSE
Patient303	7	Primaryv1	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient303	7	Primaryv10	0.2469	0.0328	0.3125	0.1813	FALSE
Patient303	7	Primaryv2	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient303	7	Primaryv3	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient303	7	Primaryv4	0.0304	0.0108	0.052	0.0088	FALSE
Patient303	7	Primaryv5	0.0862	0.0212	0.1286	0.0438	FALSE
Patient303	7	Primaryv6	0.0014	0.0037	0.0088	-0.006	FALSE
Patient303	7	Primaryv7	3e-04	0.0016	0.0035	-0.0029	FALSE
Patient303	7	Primaryv8	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient303	7	Primaryv9	0.2067	0.0291	0.2649	0.1485	FALSE
Patient303	8	Primaryv1	0.6472	0.0553	0.7578	0.5366	FALSE
Patient303	8	Primaryv10	0.0198	0.0127	0.0452	-0.0056	FALSE
Patient303	8	Primaryv2	0.5517	0.0524	0.6565	0.4469	FALSE
Patient303	8	Primaryv3	0.4621	0.0537	0.5695	0.3547	FALSE
Patient303	8	Primaryv4	0.0038	0.0073	0.0184	-0.0108	FALSE
Patient303	8	Primaryv5	0.0152	0.0128	0.0408	-0.0104	FALSE
Patient303	8	Primaryv6	0.0025	0.0057	0.0139	-0.0089	FALSE
Patient303	8	Primaryv7	0.4444	0.0538	0.552	0.3368	FALSE
Patient303	8	Primaryv8	0.0064	0.0075	0.0214	-0.0086	FALSE
Patient303	8	Primaryv9	0.0145	0.0112	0.0369	-0.0079	FALSE
Patient327	1	Primary-v1	0.0591	0.0161	0.0913	0.0269	FALSE
Patient327	1	Primary-v10	0.005	0.0063	0.0176	-0.0076	FALSE
Patient327	1	Primary-v2	0.0267	0.0119	0.0505	0.0029	FALSE
Patient327	1	Primary-v3	0.0421	0.0137	0.0695	0.0147	FALSE
Patient327	1	Primary-v4	0.2712	0.0289	0.329	0.2134	FALSE
Patient327	1	Primary-v5	0.12	0.0228	0.1656	0.0744	FALSE
Patient327	1	Primary-v6	0.0546	0.0151	0.0848	0.0244	FALSE
Patient327	1	Primary-v7	0.1748	0.025	0.2248	0.1248	FALSE
Patient327	1	Primary-v8	0.0041	0.0061	0.0163	-0.0081	FALSE
Patient327	1	Primary-v9	0.0107	0.0069	0.0245	-0.0031	FALSE
Patient327	2	Primary-v1	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient327	2	Primary-v10	0.057	0.0142	0.0854	0.0286	FALSE
Patient327	2	Primary-v2	6e-04	0.0026	0.0058	-0.0046	FALSE
Patient327	2	Primary-v3	5e-04	0.0024	0.0053	-0.0043	FALSE
Patient327	2	Primary-v4	0.0022	0.0044	0.011	-0.0066	FALSE
Patient327	2	Primary-v5	7e-04	0.0028	0.0063	-0.0049	FALSE
Patient327	2	Primary-v6	0.0129	0.0074	0.0277	-0.0019	FALSE
Patient327	2	Primary-v7	4e-04	0.002	0.0044	-0.0036	FALSE
Patient327	2	Primary-v8	0.3702	0.0352	0.4406	0.2998	FALSE
Patient327	2	Primary-v9	0.0076	0.0074	0.0224	-0.0072	FALSE
Patient327	3	Primary-v1	0.7192	0.0461	0.8114	0.627	FALSE
Patient327	3	Primary-v10	0.4348	0.0442	0.5232	0.3464	FALSE
Patient327	3	Primary-v2	0.8396	0.0392	0.918	0.7612	FALSE
Patient327	3	Primary-v3	0.9277	0.0512	1.0301	0.8253	FALSE
Patient327	3	Primary-v4	0.8734	0.0595	0.9924	0.7544	FALSE
Patient327	3	Primary-v5	0.6807	0.0502	0.7811	0.5803	FALSE
Patient327	3	Primary-v6	0.8532	0.0639	0.981	0.7254	FALSE
Patient327	3	Primary-v7	0.8648	0.0615	0.9878	0.7418	FALSE
Patient327	3	Primary-v8	0.2338	0.0452	0.3242	0.1434	FALSE
Patient327	3	Primary-v9	0.6293	0.0606	0.7505	0.5081	FALSE
Patient327	4	Primary-v1	0.0021	0.0051	0.0123	-0.0081	FALSE
Patient327	4	Primary-v10	0.0016	0.0044	0.0104	-0.0072	FALSE
Patient327	4	Primary-v2	0.0023	0.0053	0.0129	-0.0083	FALSE
Patient327	4	Primary-v3	0.0026	0.0058	0.0142	-0.009	FALSE
Patient327	4	Primary-v4	0.0017	0.0045	0.0107	-0.0073	FALSE
Patient327	4	Primary-v5	0.0035	0.0069	0.0173	-0.0103	FALSE
Patient327	4	Primary-v6	0.0024	0.0054	0.0132	-0.0084	FALSE
Patient327	4	Primary-v7	0.0024	0.0055	0.0134	-0.0086	FALSE
Patient327	4	Primary-v8	0.0039	0.0073	0.0185	-0.0107	FALSE
Patient327	4	Primary-v9	0.5277	0.0532	0.6341	0.4213	FALSE
Patient327	5	Primary-v1	0.7868	0.0998	0.9864	0.5872	FALSE
Patient327	5	Primary-v10	0.0106	0.0148	0.0402	-0.019	FALSE
Patient327	5	Primary-v2	0.8909	0.0775	1.0459	0.7359	FALSE
Patient327	5	Primary-v3	0.582	0.0939	0.7698	0.3942	FALSE
Patient327	5	Primary-v4	0.9168	0.0637	1.0442	0.7894	FALSE
Patient327	5	Primary-v5	0.8729	0.0814	1.0357	0.7101	FALSE
Patient327	5	Primary-v6	0.4886	0.0909	0.6704	0.3068	FALSE
Patient327	5	Primary-v7	0.844	0.0879	1.0198	0.6682	FALSE
Patient327	5	Primary-v8	0.0599	0.0371	0.1341	-0.0143	FALSE
Patient327	5	Primary-v9	0.0147	0.0189	0.0525	-0.0231	FALSE
Patient327	6	Primary-v1	0.9838	0.0185	1.0208	0.9468	TRUE
Patient327	6	Primary-v10	0.7181	0.0376	0.7933	0.6429	TRUE
Patient327	6	Primary-v2	0.9581	0.023	1.0041	0.9121	TRUE
Patient327	6	Primary-v3	0.899	0.0342	0.9674	0.8306	TRUE
Patient327	6	Primary-v4	0.9032	0.0298	0.9628	0.8436	TRUE
Patient327	6	Primary-v5	0.8479	0.041	0.9299	0.7659	TRUE
Patient327	6	Primary-v6	0.8659	0.0338	0.9335	0.7983	TRUE
Patient327	6	Primary-v7	0.9584	0.0226	1.0036	0.9132	TRUE
Patient327	6	Primary-v8	0.7195	0.0457	0.8109	0.6281	TRUE
Patient327	6	Primary-v9	0.7706	0.043	0.8566	0.6846	TRUE
Patient327	7	Primary-v1	0.009	0.0076	0.0242	-0.0062	FALSE
Patient327	7	Primary-v10	0.067	0.0162	0.0994	0.0346	FALSE
Patient327	7	Primary-v2	0.0042	0.0058	0.0158	-0.0074	FALSE
Patient327	7	Primary-v3	0.0751	0.017	0.1091	0.0411	FALSE
Patient327	7	Primary-v4	0.0043	0.0054	0.0151	-0.0065	FALSE
Patient327	7	Primary-v5	0.0028	0.0051	0.013	-0.0074	FALSE
Patient327	7	Primary-v6	0.0045	0.006	0.0165	-0.0075	FALSE
Patient327	7	Primary-v7	0.0022	0.0045	0.0112	-0.0068	FALSE
Patient327	7	Primary-v8	0.0019	0.0043	0.0105	-0.0067	FALSE
Patient327	7	Primary-v9	0.0014	0.0037	0.0088	-0.006	FALSE
Patient375	1	Primary-v1	0.7777	0.033	0.8437	0.7117	TRUE
Patient375	1	Primary-v10	0.9204	0.0264	0.9732	0.8676	TRUE
Patient375	1	Primary-v2	0.9722	0.0179	1.008	0.9364	TRUE
Patient375	1	Primary-v3	0.6234	0.0529	0.7292	0.5176	TRUE
Patient375	1	Primary-v4	0.8685	0.0315	0.9315	0.8055	TRUE
Patient375	1	Primary-v5	0.905	0.0261	0.9572	0.8528	TRUE
Patient375	1	Primary-v6	0.9345	0.0248	0.9841	0.8849	TRUE
Patient375	1	Primary-v7	0.8524	0.0238	0.9	0.8048	TRUE
Patient375	1	Primary-v8	0.4572	0.0262	0.5096	0.4048	TRUE
Patient375	1	Primary-v9	0.9138	0.0278	0.9694	0.8582	TRUE
Patient375	2	Primary-v1	0.0201	0.0244	0.0689	-0.0287	FALSE
Patient375	2	Primary-v10	0.5141	0.1063	0.7267	0.3015	FALSE
Patient375	2	Primary-v2	0.5453	0.109	0.7633	0.3273	FALSE
Patient375	2	Primary-v3	0.0842	0.0507	0.1856	-0.0172	FALSE
Patient375	2	Primary-v4	0.4709	0.1061	0.6831	0.2587	FALSE
Patient375	2	Primary-v5	0.2974	0.0764	0.4502	0.1446	FALSE
Patient375	2	Primary-v6	0.2726	0.075	0.4226	0.1226	FALSE
Patient375	2	Primary-v7	0.0221	0.0264	0.0749	-0.0307	FALSE
Patient375	2	Primary-v8	0.0136	0.0188	0.0512	-0.024	FALSE
Patient375	2	Primary-v9	0.3705	0.0924	0.5553	0.1857	FALSE
Patient375	3	Primary-v1	0.1722	0.0444	0.261	0.0834	FALSE
Patient375	3	Primary-v10	0.7434	0.0767	0.8968	0.59	FALSE
Patient375	3	Primary-v2	0.8807	0.0672	1.0151	0.7463	FALSE
Patient375	3	Primary-v3	0.3462	0.062	0.4702	0.2222	FALSE
Patient375	3	Primary-v4	0.9203	0.0569	1.0341	0.8065	FALSE
Patient375	3	Primary-v5	0.772	0.0764	0.9248	0.6192	FALSE
Patient375	3	Primary-v6	0.8717	0.0702	1.0121	0.7313	FALSE
Patient375	3	Primary-v7	0.8339	0.0712	0.9763	0.6915	FALSE
Patient375	3	Primary-v8	0.5217	0.0654	0.6525	0.3909	FALSE
Patient375	3	Primary-v9	0.9008	0.0633	1.0274	0.7742	FALSE
Patient375	4	Primary-v1	0.1547	0.0521	0.2589	0.0505	FALSE
Patient375	4	Primary-v10	0.0135	0.0177	0.0489	-0.0219	FALSE
Patient375	4	Primary-v2	0.0096	0.0141	0.0378	-0.0186	FALSE
Patient375	4	Primary-v3	0.2206	0.0626	0.3458	0.0954	FALSE
Patient375	4	Primary-v4	0.0108	0.0154	0.0416	-0.02	FALSE
Patient375	4	Primary-v5	0.0111	0.0152	0.0415	-0.0193	FALSE
Patient375	4	Primary-v6	0.0087	0.0127	0.0341	-0.0167	FALSE
Patient375	4	Primary-v7	0.6741	0.0835	0.8411	0.5071	FALSE
Patient375	4	Primary-v8	0.3292	0.0705	0.4702	0.1882	FALSE
Patient375	4	Primary-v9	0.0103	0.0149	0.0401	-0.0195	FALSE
Patient375	5	Primary-v1	0.3005	0.0318	0.3641	0.2369	FALSE
Patient375	5	Primary-v10	0.0016	0.004	0.0096	-0.0064	FALSE
Patient375	5	Primary-v2	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient375	5	Primary-v3	0.2887	0.0339	0.3565	0.2209	FALSE
Patient375	5	Primary-v4	4e-04	0.0021	0.0046	-0.0038	FALSE
Patient375	5	Primary-v5	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient375	5	Primary-v6	8e-04	0.0028	0.0064	-0.0048	FALSE
Patient375	5	Primary-v7	9e-04	0.003	0.0069	-0.0051	FALSE
Patient375	5	Primary-v8	0.0015	0.0037	0.0089	-0.0059	FALSE
Patient375	5	Primary-v9	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient375	6	Primary-v1	0.0987	0.019	0.1367	0.0607	FALSE
Patient375	6	Primary-v10	0.9054	0.0447	0.9948	0.816	FALSE
Patient375	6	Primary-v2	0.9073	0.0473	1.0019	0.8127	FALSE
Patient375	6	Primary-v3	0.1436	0.0278	0.1992	0.088	FALSE
Patient375	6	Primary-v4	0.843	0.0468	0.9366	0.7494	FALSE
Patient375	6	Primary-v5	0.8722	0.0452	0.9626	0.7818	FALSE
Patient375	6	Primary-v6	0.7607	0.0419	0.8445	0.6769	FALSE
Patient375	6	Primary-v7	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient375	6	Primary-v8	0.0053	0.0058	0.0169	-0.0063	FALSE
Patient375	6	Primary-v9	0.9008	0.0473	0.9954	0.8062	FALSE
Patient375	7	Primary-v1	0.003	0.0052	0.0134	-0.0074	FALSE
Patient375	7	Primary-v10	0.0209	0.0105	0.0419	-0.000100000000000003	FALSE
Patient375	7	Primary-v2	0.0415	0.0132	0.0679	0.0151	FALSE
Patient375	7	Primary-v3	5e-04	0.0022	0.0049	-0.0039	FALSE
Patient375	7	Primary-v4	0.0171	0.0089	0.0349	-0.000699999999999999	FALSE
Patient375	7	Primary-v5	0.0102	0.0066	0.0234	-0.003	FALSE
Patient375	7	Primary-v6	0.0065	0.0059	0.0183	-0.0053	FALSE
Patient375	7	Primary-v7	0.0983	0.0194	0.1371	0.0595	FALSE
Patient375	7	Primary-v8	0.0286	0.0107	0.05	0.0072	FALSE
Patient375	7	Primary-v9	0.0066	0.0063	0.0192	-0.006	FALSE
Patient453	1	Primary-v1	7e-04	0.0026	0.0059	-0.0045	FALSE
Patient453	1	Primary-v10	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient453	1	Primary-v2	0.0011	0.0033	0.0077	-0.0055	FALSE
Patient453	1	Primary-v3	0.0041	0.0052	0.0145	-0.0063	FALSE
Patient453	1	Primary-v4	0.014	0.0074	0.0288	-8e-04	FALSE
Patient453	1	Primary-v5	0.0015	0.0036	0.0087	-0.0057	FALSE
Patient453	1	Primary-v6	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient453	1	Primary-v7	0.0865	0.0179	0.1223	0.0507	FALSE
Patient453	1	Primary-v8	0.0681	0.0142	0.0965	0.0397	FALSE
Patient453	1	Primary-v9	0.0017	0.0038	0.0093	-0.0059	FALSE
Patient453	2	Primary-v1	0.0141	0.0064	0.0269	0.0013	FALSE
Patient453	2	Primary-v10	0.0813	0.0148	0.1109	0.0517	FALSE
Patient453	2	Primary-v2	0.0392	0.0134	0.066	0.0124	FALSE
Patient453	2	Primary-v3	0.0178	0.008	0.0338	0.0018	FALSE
Patient453	2	Primary-v4	0.0172	0.0077	0.0326	0.0018	FALSE
Patient453	2	Primary-v5	0.0432	0.0131	0.0694	0.017	FALSE
Patient453	2	Primary-v6	0.1341	0.0227	0.1795	0.0887	FALSE
Patient453	2	Primary-v7	0.0363	0.0124	0.0611	0.0115	FALSE
Patient453	2	Primary-v8	0.0217	0.0088	0.0393	0.0041	FALSE
Patient453	2	Primary-v9	0.0069	0.0061	0.0191	-0.0053	FALSE
Patient453	3	Primary-v1	0.0033	0.0066	0.0165	-0.0099	FALSE
Patient453	3	Primary-v10	0.8594	0.0558	0.971	0.7478	FALSE
Patient453	3	Primary-v2	0.0039	0.0074	0.0187	-0.0109	FALSE
Patient453	3	Primary-v3	0.0025	0.0056	0.0137	-0.0087	FALSE
Patient453	3	Primary-v4	0.0031	0.0063	0.0157	-0.0095	FALSE
Patient453	3	Primary-v5	0.002	0.0049	0.0118	-0.0078	FALSE
Patient453	3	Primary-v6	0.0029	0.0061	0.0151	-0.0093	FALSE
Patient453	3	Primary-v7	0.0127	0.0113	0.0353	-0.0099	FALSE
Patient453	3	Primary-v8	0.0035	0.0068	0.0171	-0.0101	FALSE
Patient453	3	Primary-v9	0.145	0.0332	0.2114	0.0786	FALSE
Patient453	4	Primary-v1	0.0019	0.0048	0.0115	-0.0077	FALSE
Patient453	4	Primary-v10	0.8604	0.0542	0.9688	0.752	FALSE
Patient453	4	Primary-v2	0.0029	0.0061	0.0151	-0.0093	FALSE
Patient453	4	Primary-v3	0.0016	0.0044	0.0104	-0.0072	FALSE
Patient453	4	Primary-v4	0.4623	0.0516	0.5655	0.3591	FALSE
Patient453	4	Primary-v5	0.1153	0.0263	0.1679	0.0627	FALSE
Patient453	4	Primary-v6	0.027	0.0139	0.0548	-0.000799999999999999	FALSE
Patient453	4	Primary-v7	0.0117	0.0098	0.0313	-0.0079	FALSE
Patient453	4	Primary-v8	0.5177	0.0543	0.6263	0.4091	FALSE
Patient453	4	Primary-v9	0.2441	0.0378	0.3197	0.1685	FALSE
Patient453	5	Primary-v1	0	4e-04	8e-04	-8e-04	TRUE
Patient453	5	Primary-v10	0.8959	0.0222	0.9403	0.8515	TRUE
Patient453	5	Primary-v2	0	7e-04	0.0014	-0.0014	TRUE
Patient453	5	Primary-v3	0	3e-04	6e-04	-6e-04	TRUE
Patient453	5	Primary-v4	0.564	0.0283	0.6206	0.5074	TRUE
Patient453	5	Primary-v5	0.8929	0.0236	0.9401	0.8457	TRUE
Patient453	5	Primary-v6	0.7821	0.027	0.8361	0.7281	TRUE
Patient453	5	Primary-v7	0.8462	0.0269	0.9	0.7924	TRUE
Patient453	5	Primary-v8	0.7028	0.0289	0.7606	0.645	TRUE
Patient453	5	Primary-v9	0.7356	0.0274	0.7904	0.6808	TRUE
Patient453	6	Primary-v1	7e-04	0.0028	0.0063	-0.0049	FALSE
Patient453	6	Primary-v10	0.0067	0.0062	0.0191	-0.0057	FALSE
Patient453	6	Primary-v2	0.0012	0.0036	0.0084	-0.006	FALSE
Patient453	6	Primary-v3	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient453	6	Primary-v4	0.0042	0.0061	0.0164	-0.008	FALSE
Patient453	6	Primary-v5	4e-04	0.0021	0.0046	-0.0038	FALSE
Patient453	6	Primary-v6	6e-04	0.0025	0.0056	-0.0044	FALSE
Patient453	6	Primary-v7	7e-04	0.0027	0.0061	-0.0047	FALSE
Patient453	6	Primary-v8	0.0036	0.0057	0.015	-0.0078	FALSE
Patient453	6	Primary-v9	0.3941	0.0377	0.4695	0.3187	FALSE
Patient300	1	Recurrence1_9-1-22	0.6521	0.2526	1.1573	0.1469	FALSE
Patient300	1	Recurrence1_9-1-46	0.6562	0.2084	1.073	0.2394	FALSE
Patient300	1	Recurrence1_9-2-123	0.5024	0.1809	0.8642	0.1406	FALSE
Patient300	1	Recurrence1_9-2-85	0.5808	0.2008	0.9824	0.1792	FALSE
Patient300	1	Recurrence1v1	0.6585	0.268	1.1945	0.1225	FALSE
Patient300	1	Recurrence1v10	0.4824	0.1698	0.822	0.1428	FALSE
Patient300	1	Recurrence1v2	0.63	0.2797	1.1894	0.0706	FALSE
Patient300	1	Recurrence1v3	0.0214	0.0257	0.0728	-0.03	FALSE
Patient300	1	Recurrence1v4	0.1413	0.0553	0.2519	0.0307	FALSE
Patient300	1	Recurrence1v5	0.7012	0.2123	1.1258	0.2766	FALSE
Patient300	1	Recurrence1v6	0.4613	0.1691	0.7995	0.1231	FALSE
Patient300	1	Recurrence1v7	0.4352	0.165	0.7652	0.1052	FALSE
Patient300	1	Recurrence1v8	0.0913	0.0435	0.1783	0.00430000000000001	FALSE
Patient300	2	Recurrence1_9-1-22	0.0243	0.0113	0.0469	0.0017	FALSE
Patient300	2	Recurrence1_9-1-46	0.1034	0.0257	0.1548	0.052	FALSE
Patient300	2	Recurrence1_9-2-123	0.2999	0.0398	0.3795	0.2203	FALSE
Patient300	2	Recurrence1_9-2-85	0.5569	0.0521	0.6611	0.4527	FALSE
Patient300	2	Recurrence1v1	0.0207	0.0098	0.0403	0.0011	FALSE
Patient300	2	Recurrence1v10	0.4187	0.0441	0.5069	0.3305	FALSE
Patient300	2	Recurrence1v2	0.0991	0.0247	0.1485	0.0497	FALSE
Patient300	2	Recurrence1v3	6e-04	0.0025	0.0056	-0.0044	FALSE
Patient300	2	Recurrence1v4	6e-04	0.0026	0.0058	-0.0046	FALSE
Patient300	2	Recurrence1v5	0.0226	0.0105	0.0436	0.0016	FALSE
Patient300	2	Recurrence1v6	0.003	0.0054	0.0138	-0.0078	FALSE
Patient300	2	Recurrence1v7	6e-04	0.0026	0.0058	-0.0046	FALSE
Patient300	2	Recurrence1v8	7e-04	0.0027	0.0061	-0.0047	FALSE
Patient300	3	Recurrence1_9-1-22	0.3595	0.0414	0.4423	0.2767	FALSE
Patient300	3	Recurrence1_9-1-46	0.6904	0.0495	0.7894	0.5914	FALSE
Patient300	3	Recurrence1_9-2-123	0.5914	0.0372	0.6658	0.517	FALSE
Patient300	3	Recurrence1_9-2-85	0.7654	0.0499	0.8652	0.6656	FALSE
Patient300	3	Recurrence1v1	0.3982	0.0525	0.5032	0.2932	FALSE
Patient300	3	Recurrence1v10	0.7044	0.046	0.7964	0.6124	FALSE
Patient300	3	Recurrence1v2	0.5691	0.0394	0.6479	0.4903	FALSE
Patient300	3	Recurrence1v3	0.7948	0.049	0.8928	0.6968	FALSE
Patient300	3	Recurrence1v4	0.7306	0.0482	0.827	0.6342	FALSE
Patient300	3	Recurrence1v5	0.7514	0.0461	0.8436	0.6592	FALSE
Patient300	3	Recurrence1v6	0.7187	0.0483	0.8153	0.6221	FALSE
Patient300	3	Recurrence1v7	0.6912	0.0491	0.7894	0.593	FALSE
Patient300	3	Recurrence1v8	0.7266	0.0473	0.8212	0.632	FALSE
Patient300	4	Recurrence1_9-1-22	0.0078	0.0047	0.0172	-0.0016	FALSE
Patient300	4	Recurrence1_9-1-46	0.0996	0.0161	0.1318	0.0674	FALSE
Patient300	4	Recurrence1_9-2-123	0.084	0.0167	0.1174	0.0506	FALSE
Patient300	4	Recurrence1_9-2-85	0.0079	0.0053	0.0185	-0.0027	FALSE
Patient300	4	Recurrence1v1	0.0024	0.0044	0.0112	-0.0064	FALSE
Patient300	4	Recurrence1v10	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient300	4	Recurrence1v2	0.012	0.0045	0.021	0.003	FALSE
Patient300	4	Recurrence1v3	0.3288	0.0294	0.3876	0.27	FALSE
Patient300	4	Recurrence1v4	0.1598	0.0249	0.2096	0.11	FALSE
Patient300	4	Recurrence1v5	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient300	4	Recurrence1v6	0.2243	0.026	0.2763	0.1723	FALSE
Patient300	4	Recurrence1v7	0.0793	0.0151	0.1095	0.0491	FALSE
Patient300	4	Recurrence1v8	0.3498	0.0312	0.4122	0.2874	FALSE
Patient300	5	Recurrence1_9-1-22	0.4267	0.1229	0.6725	0.1809	FALSE
Patient300	5	Recurrence1_9-1-46	0.5667	0.1206	0.8079	0.3255	FALSE
Patient300	5	Recurrence1_9-2-123	0.5957	0.0839	0.7635	0.4279	FALSE
Patient300	5	Recurrence1_9-2-85	0.7291	0.0842	0.8975	0.5607	FALSE
Patient300	5	Recurrence1v1	0.2155	0.0568	0.3291	0.1019	FALSE
Patient300	5	Recurrence1v10	0.5481	0.075	0.6981	0.3981	FALSE
Patient300	5	Recurrence1v2	0.2747	0.0589	0.3925	0.1569	FALSE
Patient300	5	Recurrence1v3	0.8129	0.076	0.9649	0.6609	FALSE
Patient300	5	Recurrence1v4	0.5357	0.0759	0.6875	0.3839	FALSE
Patient300	5	Recurrence1v5	0.0313	0.0161	0.0635	-0.000899999999999998	FALSE
Patient300	5	Recurrence1v6	0.7568	0.0953	0.9474	0.5662	FALSE
Patient300	5	Recurrence1v7	0.3395	0.0726	0.4847	0.1943	FALSE
Patient300	5	Recurrence1v8	0.6381	0.0839	0.8059	0.4703	FALSE
Patient300	6	Recurrence1_9-1-22	0	0	0	0	FALSE
Patient300	6	Recurrence1_9-1-46	2e-04	0.0012	0.0026	-0.0022	FALSE
Patient300	6	Recurrence1_9-2-123	0	4e-04	8e-04	-8e-04	FALSE
Patient300	6	Recurrence1_9-2-85	0.009	0.0031	0.0152	0.0028	FALSE
